Part		Description	Price:	1	10	100	250	1000
MF-CAP-0603-1nF	MF-CAP-0603-1nF - Capacitor MLCC 0603 1nF 10% 50V	Capacitor MLCC 0603 1nF 10% 50V		$0.050	$0.009	$0.007	$0.006	$0.005
MF-SW-TACT-6MM	MF-SW-TACT-6MM - Tactile Switch 6MM 	Tactile Switch 6MM		$0.180	$0.170	$0.150	$0.140	$0.110
MF-CON-MICROUSB-RIGHT	MF-CON-MICROUSB-RIGHT - Micro USB Connector Type B Right Angle	Micro USB Connector Type B Right Angle		$0.370	$0.290	$0.250	$0.240	$0.220
MF-CON-2.54mm-01x27	MF-CON-2.54mm-01x27 - Pin Header 2.54mm 1x27 Unshrouded 27 Pins, 1 Row of 27, 01x27	Pin Header 2.54mm 1x27 Unshrouded 27 Pins, 1 Row of 27, 01x27		$2.341	$1.9	$1.186	$1.013	$0.66
MF-CON-2.54mm-01x38	MF-CON-2.54mm-01x38 - Pin Header 2.54mm 1x38 Unshrouded 38 Pins, 1 Row of 38, 01x38	Pin Header 2.54mm 1x38 Unshrouded 38 Pins, 1 Row of 38, 01x38		$3.163	$2.568	$1.604	$1.371	$0.894
MF-CON-2.54mm-01x24	MF-CON-2.54mm-01x24 - Pin Header 2.54mm 1x24 Unshrouded 24 Pins, 1 Row of 24, 01x24	Pin Header 2.54mm 1x24 Unshrouded 24 Pins, 1 Row of 24, 01x24		$2.117	$1.718	$1.072	$0.916	$0.596
MF-CON-2.54mm-01x05	MF-CON-2.54mm-01x05 - Pin Header 2.54mm 1x5 Unshrouded 5 Pins, 1 Row of 5, 01x05	Pin Header 2.54mm 1x5 Unshrouded 5 Pins, 1 Row of 5, 01x05		$0.700	$0.564	$0.351	$0.299	$0.193
MF-CON-2.54mm-01x39	MF-CON-2.54mm-01x39 - Pin Header 2.54mm 1x39 Unshrouded 39 Pins, 1 Row of 39, 01x39	Pin Header 2.54mm 1x39 Unshrouded 39 Pins, 1 Row of 39, 01x39		$3.238	$2.629	$1.642	$1.403	$0.915
MF-CON-2.54mm-01x10	MF-CON-2.54mm-01x10 - Pin Header 2.54mm 1x10 Unshrouded 10 Pins, 1 Row of 10, 01x10	Pin Header 2.54mm 1x10 Unshrouded 10 Pins, 1 Row of 10, 01x10		$1.07	$0.867	$0.54	$0.461	$0.299
MF-RES-0805-200	MF-RES-0805-200 - Resistor Thick Film 0805 200 Ohm 1% 125mW 150V	Resistor Thick Film 0805 200 Ohm 1% 125mW 150V		$0.050	$0.010	$0.005	$0.004	$0.003
MF-CAP-0402-1uF	MF-CAP-0402-1uF - Capacitor MLCC 0402 1uF 10% 16V	Capacitor MLCC 0402 1uF 10% 16V		$0.060	$0.040	$0.024	$0.018	$0.015
MF-RES-0805-604K	MF-RES-0805-604K - Resistor Thick Film 0805 604K Ohm 1% 100mW 75V	Resistor Thick Film 0805 604K Ohm 1% 100mW 75V		$0.050	$0.010	$0.007	$0.005	$0.003
MF-LED-0603-GREEN	MF-LED-0603-GREEN - Green LED 571nm 35mcd 0603 	Green LED 571nm 35mcd 0603		$0.200	$0.180	$0.120	$0.100	$0.050
MF-RES-0402-75	MF-RES-0402-75 - Resistor Thick Film 0402 75 Ohm 5% 100mW 50V	Resistor Thick Film 0402 75 Ohm 5% 100mW 50V		$0.050	$0.008	$0.005	$0.004	$0.003
MF-RES-0603-10	MF-RES-0603-10 - Resistor Thick Film 0603 10 Ohm 5% 100mW 75V	Resistor Thick Film 0603 10 Ohm 5% 100mW 75V		$0.050	$0.008	$0.006	$0.004	$0.003
MF-RES-0805-680K	MF-RES-0805-680K - Resistor Thick Film 0805 680K Ohm 5% 125mW 150V	Resistor Thick Film 0805 680K Ohm 5% 125mW 150V		$0.050	$0.010	$0.008	$0.006	$0.004
